numero,nome,slug,apelido,aliases,tipo,categoria,faixa_etaria,papel,descricao_curta,asset_futuro,status_imagem,tags,variacoes_planejadas,assets_variacoes_futuras,padrao_visual_avatar,status_variacoes,uid,numero_legacy,card_code,uids_variacoes,card_codes_variacoes,tipo_personagem,classificacao_principal,subcategoria,fase_vida,geracao,geracao_calculada_pelo_usuario,regiao,uf,familia_uid,origens_culturais,comunidades,profissoes,folclore,status_pesquisa
011,Pig Senior,pig-senior,Senior,Pig Senior|Senior|pig senior,avatar_usuario,Avatares do usuario,65+,"Avatar para avos, netos, carinho e legado","Avatar senior simples, afetuoso e simpatico.",assets/characters/011-pig-senior.png,pendente,avatar_usuario|avatares_do_usuario|65+|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/011-pig-senior-padrao.png;azul=assets/characters/011-pig-senior-azul.png;rosa=assets/characters/011-pig-senior-rosa.png;arco_iris=assets/characters/011-pig-senior-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=pendente,AVA-011,011,CR-011-AVA-2026,padrao=AVA-011-PAD;azul=AVA-011-AZL;rosa=AVA-011-RSA;arco_iris=AVA-011-ARC,padrao=CR-011-PAD-2026;azul=CR-011-AZL-2026;rosa=CR-011-RSA-2026;arco_iris=CR-011-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_senior,,true,,,,,,,,nao_aplicavel
012,Pinguinha,pinguinha,Pinguinha,Pinguinha|pinguinha,familia_principal,Familia principal,crianca,Personagem de referencia para conta infantil ficticia,"Curiosa, carinhosa e animada com pequenas conquistas.",assets/characters/012-pinguinha.png,pendente,familia_principal|crianca|vila_pig,,,,,VIL-012,012,CR-012-VIL-2026,,,personagem_vila,personagem_vila,familia_principal,,,false,,,,,,,,pendente
013,Mae Helena,mae-helena,Helena,Mae Helena|Helena|mae helena,familia_principal,Familia principal,adulto,Mae responsavel que orienta sem bronca,Ajuda a familia a falar de dinheiro com calma.,assets/characters/013-mae-helena.png,pendente,familia_principal|adulto|vila_pig,,,,,VIL-013,013,CR-013-VIL-2026,,,personagem_vila,personagem_vila,familia_principal,,,false,,,,,,,,pendente
014,Pai Raimundo,pai-raimundo,Raimundo,Pai Raimundo|Raimundo|pai raimundo,familia_principal,Familia principal,adulto,Pai presente que manda Pig com carinho,Valoriza planejamento e pequenas metas.,assets/characters/014-pai-raimundo.png,pendente,familia_principal|adulto|vila_pig,,,,,VIL-014,014,CR-014-VIL-2026,,,personagem_vila,personagem_vila,familia_principal,,,false,,,,,,,,pendente
015,Bia,bia,Bia,Bia|bia,familia_principal,Familia principal,pre-adolescente,Irma que aprende metas e escolhas,Gosta de organizar pequenas economias.,assets/characters/015-bia.png,pendente,familia_principal|pre-adolescente|vila_pig,,,,,VIL-015,015,CR-015-VIL-2026,,,personagem_vila,personagem_vila,familia_principal,,,false,,,,,,,,pendente
016,Juninho,juninho,Juninho,Juninho|juninho,familia_principal,Familia principal,crianca,Irmao brincalhao que aprende a contar moedas,Transforma troco em pequenas descobertas.,assets/characters/016-juninho.png,pendente,familia_principal|crianca|vila_pig,,,,,VIL-016,016,CR-016-VIL-2026,,,personagem_vila,personagem_vila,familia_principal,,,false,,,,,,,,pendente
017,Vovo Zefa,vovo-zefa,Dona Zefa,Vovo Zefa|Dona Zefa|vovo zefa,familia_principal,Familia principal,senior,Avo carinhosa que manda Pig para os netos,"Representa afeto, memoria e cuidado familiar.",assets/characters/017-vovo-zefa.png,pendente,familia_principal|senior|vila_pig,,,,,VIL-017,017,CR-017-VIL-2026,,,personagem_vila,personagem_vila,familia_principal,,,false,,,,,,,,pendente
018,Vovo Joao,vovo-joao,Seu Joao,Vovo Joao|Seu Joao|vovo joao,familia_principal,Familia principal,senior,Avo experiente que ensina pelo exemplo,"Valoriza paciencia, historia e simplicidade.",assets/characters/018-vovo-joao.png,pendente,familia_principal|senior|vila_pig,,,,,VIL-018,018,CR-018-VIL-2026,,,personagem_vila,personagem_vila,familia_principal,,,false,,,,,,,,pendente
019,Vovo Lourdes,vovo-lourdes,Dona Lourdes,Vovo Lourdes|Dona Lourdes|vovo lourdes,familia_estendida,Familia estendida,senior,Avo materna acolhedora,"Guarda receitas, historias e pequenos conselhos.",assets/characters/019-vovo-lourdes.png,pendente,familia_estendida|senior|vila_pig,,,,,VIL-019,019,CR-019-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
020,Vovo Severino,vovo-severino,Seu Severino,Vovo Severino|Seu Severino|vovo severino,familia_estendida,Familia estendida,senior,Avo paterno de fala calma,Mostra que cada moeda tem historia.,assets/characters/020-vovo-severino.png,pendente,familia_estendida|senior|vila_pig,,,,,VIL-020,020,CR-020-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
021,Tia Maria,tia-maria,Tia Maria,Tia Maria|tia maria,familia_estendida,Familia estendida,adulto,Tia presente nas festas e metas da familia,Ajuda sobrinhos a planejar sonhos simples.,assets/characters/021-tia-maria.png,pendente,familia_estendida|adulto|vila_pig,,,,,VIL-021,021,CR-021-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
022,Tio Chico,tio-chico,Tio Chico,Tio Chico|tio chico,familia_estendida,Familia estendida,adulto,Tio divertido e organizado,Ensina escolhas com bom humor.,assets/characters/022-tio-chico.png,pendente,familia_estendida|adulto|vila_pig,,,,,VIL-022,022,CR-022-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
023,Prima Lala,prima-lala,Lala,Prima Lala|Lala|prima lala,familia_estendida,Familia estendida,crianca,Prima criativa e parceira de jogos educativos,"Gosta de albuns, cores e desafios saudaveis.",assets/characters/023-prima-lala.png,pendente,familia_estendida|crianca|vila_pig,,,,,VIL-023,023,CR-023-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
024,Primo Toninho,primo-toninho,Toninho,Primo Toninho|Toninho|primo toninho,familia_estendida,Familia estendida,adolescente,Primo que aprende autonomia,Fala de metas maiores sem pressa.,assets/characters/024-primo-toninho.png,pendente,familia_estendida|adolescente|vila_pig,,,,,VIL-024,024,CR-024-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
025,Seu Damiao da Padaria,seu-damiao-padaria,Seu Damiao,Seu Damiao da Padaria|Seu Damiao|seu damiao padaria,comercio_local,Comercio local,adulto,Padeiro que enfrenta a falta de moeda no caixa,Mostra o troco digital no comercio de bairro.,assets/characters/025-seu-damiao-padaria.png,pendente,comercio_local|adulto|vila_pig,,,,,VIL-025,025,CR-025-VIL-2026,,,personagem_vila,personagem_vila,comercio_local,,,false,,,,,,,,pendente
026,Tia Carmem da Cantina,tia-carmem-cantina,Tia Carmem,Tia Carmem da Cantina|Tia Carmem|tia carmem cantina,escola_cantina,Cantina e eventos escolares,adulto,Cantineira querida da escola,Ajuda em exemplos educativos de troco supervisionado.,assets/characters/026-tia-carmem-cantina.png,pendente,escola_cantina|cantina_e_eventos_escolares|adulto|vila_pig,,,,,VIL-026,026,CR-026-VIL-2026,,,personagem_vila,personagem_vila,escola_cantina,,,false,,,,,,,,pendente
027,Pig Sabio,pig-sabio,Pig,Pig Sabio|Pig|pig sabio,mascote_guia,Mascote e guias,atemporal,Guia de reflexao financeira,Ajuda a pensar antes de gastar.,assets/characters/027-pig-sabio.png,pendente,mascote_guia|mascote_e_guias|atemporal|vila_pig,,,,,VIL-027,027,CR-027-VIL-2026,,,personagem_vila,personagem_vila,mascote_guia,,,false,,,,,,,,pendente
028,Pig Contador,pig-contador,Pig,Pig Contador|Pig|pig contador,mascote_guia,Mascote e guias,atemporal,Guia de numeros e moedas,"Ensina soma, troco e pequenos calculos.",assets/characters/028-pig-contador.png,pendente,mascote_guia|mascote_e_guias|atemporal|vila_pig,,,,,VIL-028,028,CR-028-VIL-2026,,,personagem_vila,personagem_vila,mascote_guia,,,false,,,,,,,,pendente
029,Pig Guardiao,pig-guardiao,Pig,Pig Guardiao|Pig|pig guardiao,mascote_guia,Mascote e guias,atemporal,Guia de seguranca e cuidado,Lembra que prototipo nao movimenta dinheiro real.,assets/characters/029-pig-guardiao.png,pendente,mascote_guia|mascote_e_guias|atemporal|vila_pig,,,,,VIL-029,029,CR-029-VIL-2026,,,personagem_vila,personagem_vila,mascote_guia,,,false,,,,,,,,pendente
030,Pig Solidario,pig-solidario,Pig,Pig Solidario|Pig|pig solidario,mascote_guia,Mascote e guias,atemporal,Guia de doacoes futuras,Mostra solidariedade sem pressao.,assets/characters/030-pig-solidario.png,pendente,mascote_guia|mascote_e_guias|atemporal|vila_pig,,,,,VIL-030,030,CR-030-VIL-2026,,,personagem_vila,personagem_vila,mascote_guia,,,false,,,,,,,,pendente
031,Pig Campeao,pig-campeao,Pig,Pig Campeao|Pig|pig campeao,mascote_guia,Mascote e guias,atemporal,Guia de metas concluidas,Comemora progresso sem criar vicio.,assets/characters/031-pig-campeao.png,pendente,mascote_guia|mascote_e_guias|atemporal|vila_pig,,,,,VIL-031,031,CR-031-VIL-2026,,,personagem_vila,personagem_vila,mascote_guia,,,false,,,,,,,,pendente
032,Pig Pensativo,pig-pensativo,Pig,Pig Pensativo|Pig|pig pensativo,mascote_guia,Mascote e guias,atemporal,Guia de escolhas conscientes,Convida a refletir com carinho.,assets/characters/032-pig-pensativo.png,pendente,mascote_guia|mascote_e_guias|atemporal|vila_pig,,,,,VIL-032,032,CR-032-VIL-2026,,,personagem_vila,personagem_vila,mascote_guia,,,false,,,,,,,,pendente
033,Bisavo Nena,bisavo-nena,Bisavo,Bisavo Nena|Bisavo|bisavo nena,familia_estendida,Avos dos dois lados,senior,Bisavo da memoria familiar,Conta historias sobre guardar com paciencia.,assets/characters/033-bisavo-nena.png,pendente,familia_estendida|avos_dos_dois_lados|senior|vila_pig,,,,,VIL-033,033,CR-033-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
034,Bisavo Joaquim,bisavo-joaquim,Bisavo,Bisavo Joaquim|Bisavo|bisavo joaquim,familia_estendida,Avos dos dois lados,senior,Bisavo tranquilo e observador,Ensina que devagar tambem chega.,assets/characters/034-bisavo-joaquim.png,pendente,familia_estendida|avos_dos_dois_lados|senior|vila_pig,,,,,VIL-034,034,CR-034-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
035,Dona Tereza do Interior,dona-tereza-do-interior,Dona,Dona Tereza do Interior|Dona|dona tereza do interior,familia_estendida,Avos dos dois lados,senior,Avo que mora no interior,"Traz afeto de feira, quintal e familia.",assets/characters/035-dona-tereza-do-interior.png,pendente,familia_estendida|avos_dos_dois_lados|senior|vila_pig,,,,,VIL-035,035,CR-035-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
036,Seu Cid de Outra Cidade,seu-cid-de-outra-cidade,Seu,Seu Cid de Outra Cidade|Seu|seu cid de outra cidade,familia_estendida,Avos dos dois lados,senior,Avo que visita de outra cidade,Manda Pig em datas especiais da familia.,assets/characters/036-seu-cid-de-outra-cidade.png,pendente,familia_estendida|avos_dos_dois_lados|senior|vila_pig,,,,,VIL-036,036,CR-036-VIL-2026,,,personagem_vila,personagem_vila,familia_estendida,,,false,,,,,,,,pendente
037,Professora Lucia,professora-lucia,Professora,Professora Lucia|Professora|professora lucia,escola,Escola,adulto,Professora de educacao financeira leve,"Ensina moedas, escolhas e combinados.",assets/characters/037-professora-lucia.png,pendente,escola|adulto|vila_pig,,,,,VIL-037,037,CR-037-VIL-2026,,,personagem_vila,personagem_vila,escola,,,false,,,,,,,,pendente
038,Professor Marcos,professor-marcos,Professor,Professor Marcos|Professor|professor marcos,escola,Escola,adulto,Professor de matematica do cotidiano,Transforma troco em aula simples.,assets/characters/038-professor-marcos.png,pendente,escola|adulto|vila_pig,,,,,VIL-038,038,CR-038-VIL-2026,,,personagem_vila,personagem_vila,escola,,,false,,,,,,,,pendente
039,Tio Naldo da Portaria,tio-naldo-da-portaria,Tio,Tio Naldo da Portaria|Tio|tio naldo da portaria,escola,Escola,adulto,Apoio da escola,Conhece todos pelo nome e cuida da rotina.,assets/characters/039-tio-naldo-da-portaria.png,pendente,escola|adulto|vila_pig,,,,,VIL-039,039,CR-039-VIL-2026,,,personagem_vila,personagem_vila,escola,,,false,,,,,,,,pendente
040,Dona Elza Coordenadora,dona-elza-coordenadora,Dona,Dona Elza Coordenadora|Dona|dona elza coordenadora,escola,Escola,adulto,Coordenadora escolar,Organiza projetos com responsabilidade.,assets/characters/040-dona-elza-coordenadora.png,pendente,escola|adulto|vila_pig,,,,,VIL-040,040,CR-040-VIL-2026,,,personagem_vila,personagem_vila,escola,,,false,,,,,,,,pendente
041,Aninha da Escola,aninha-da-escola,Aninha,Aninha da Escola|Aninha|aninha da escola,escola,Escola,crianca,Amiga de sala,Aprende metas em grupo.,assets/characters/041-aninha-da-escola.png,pendente,escola|crianca|vila_pig,,,,,VIL-041,041,CR-041-VIL-2026,,,personagem_vila,personagem_vila,escola,,,false,,,,,,,,pendente
042,Pedrinho da Escola,pedrinho-da-escola,Pedrinho,Pedrinho da Escola|Pedrinho|pedrinho da escola,escola,Escola,crianca,Amigo de sala,Gosta de desafios de contagem.,assets/characters/042-pedrinho-da-escola.png,pendente,escola|crianca|vila_pig,,,,,VIL-042,042,CR-042-VIL-2026,,,personagem_vila,personagem_vila,escola,,,false,,,,,,,,pendente
043,Luana do Gremio,luana-do-gremio,Luana,Luana do Gremio|Luana|luana do gremio,escola_eventos,Cantina e eventos escolares,adolescente,Representante estudantil,Ajuda campanhas supervisionadas.,assets/characters/043-luana-do-gremio.png,pendente,escola_eventos|cantina_e_eventos_escolares|adolescente|vila_pig,,,,,VIL-043,043,CR-043-VIL-2026,,,personagem_vila,personagem_vila,escola_eventos,,,false,,,,,,,,pendente
044,Mateus da Quadrilha,mateus-da-quadrilha,Mateus,Mateus da Quadrilha|Mateus|mateus da quadrilha,escola_eventos,Cantina e eventos escolares,adolescente,Participante de festa junina,Leva alegria sem consumo exagerado.,assets/characters/044-mateus-da-quadrilha.png,pendente,escola_eventos|cantina_e_eventos_escolares|adolescente|vila_pig,,,,,VIL-044,044,CR-044-VIL-2026,,,personagem_vila,personagem_vila,escola_eventos,,,false,,,,,,,,pendente
045,Malu Rainha do Milho,malu-rainha-do-milho,Malu,Malu Rainha do Milho|Malu|malu rainha do milho,escola_eventos,Cantina e eventos escolares,crianca,Personagem de festa junina,Representa cultura local com carinho.,assets/characters/045-malu-rainha-do-milho.png,pendente,escola_eventos|cantina_e_eventos_escolares|crianca|vila_pig,,,,,VIL-045,045,CR-045-VIL-2026,,,personagem_vila,personagem_vila,escola_eventos,,,false,,,,,,,,pendente
046,Caio dos Jogos da Juventude,caio-dos-jogos-da-juventude,Caio,Caio dos Jogos da Juventude|Caio|caio dos jogos da juventude,escola_eventos,Cantina e eventos escolares,adolescente,Participante esportivo,Valoriza disciplina e equipe.,assets/characters/046-caio-dos-jogos-da-juventude.png,pendente,escola_eventos|cantina_e_eventos_escolares|adolescente|vila_pig,,,,,VIL-046,046,CR-046-VIL-2026,,,personagem_vila,personagem_vila,escola_eventos,,,false,,,,,,,,pendente
047,Dona Graca da Mercearia,dona-graca-da-mercearia,Dona,Dona Graca da Mercearia|Dona|dona graca da mercearia,comercio_local,Comercio local,adulto,Dona de mercearia,Resolve falta de troco com simplicidade.,assets/characters/047-dona-graca-da-mercearia.png,pendente,comercio_local|adulto|vila_pig,,,,,VIL-047,047,CR-047-VIL-2026,,,personagem_vila,personagem_vila,comercio_local,,,false,,,,,,,,pendente
048,Seu Ze da Bodega,seu-ze-da-bodega,Seu,Seu Ze da Bodega|Seu|seu ze da bodega,comercio_local,Comercio local,adulto,Dono de bodega,Conhece a vizinhanca e usa troco digital.,assets/characters/048-seu-ze-da-bodega.png,pendente,comercio_local|adulto|vila_pig,,,,,VIL-048,048,CR-048-VIL-2026,,,personagem_vila,personagem_vila,comercio_local,,,false,,,,,,,,pendente
049,Cicero do Mercadinho,cicero-do-mercadinho,Cicero,Cicero do Mercadinho|Cicero|cicero do mercadinho,comercio_local,Comercio local,adulto,Dono de mercadinho,Atende familias do bairro.,assets/characters/049-cicero-do-mercadinho.png,pendente,comercio_local|adulto|vila_pig,,,,,VIL-049,049,CR-049-VIL-2026,,,personagem_vila,personagem_vila,comercio_local,,,false,,,,,,,,pendente
050,Francisca da Farmacia,francisca-da-farmacia,Francisca,Francisca da Farmacia|Francisca|francisca da farmacia,comercio_local,Comercio local,adulto,Atendente de farmacia,Ajuda clientes com gentileza.,assets/characters/050-francisca-da-farmacia.png,pendente,comercio_local|adulto|vila_pig,,,,,VIL-050,050,CR-050-VIL-2026,,,personagem_vila,personagem_vila,comercio_local,,,false,,,,,,,,pendente
051,Rafa da Lanchonete,rafa-da-lanchonete,Rafa,Rafa da Lanchonete|Rafa|rafa da lanchonete,comercio_local,Comercio local,jovem,Atendente de lanchonete,Usa linguagem simples com clientes.,assets/characters/051-rafa-da-lanchonete.png,pendente,comercio_local|jovem|vila_pig,,,,,VIL-051,051,CR-051-VIL-2026,,,personagem_vila,personagem_vila,comercio_local,,,false,,,,,,,,pendente
